<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,,
Model,Type,Rank,"<a href=""https://euroeval.com/tasks/european-values"">European Values</a>",Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,Danish,Norwegian,Swedish
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B#no-thinking</a>,📝,-@@100,?,30532122624.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B</a>,🤔,-@@100,?,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B (zero-shot, val)</a>",🤔,-@@100,?,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-4B-Instruct-2507'>Qwen/Qwen3-4B-Instruct-2507</a>,📝,-@@100,?,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B</a>,🤔,-@@100,?,30532122624.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6</a>,🤔,-@@100,?,320956992.0,65536.0,4096.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B</a>,🤔,-@@100,?,751632384.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/PleIAs/Pleias-Nano'>PleIAs/Pleias-Nano</a>,🧠,-@@100,N/A,1195468800.0,65536.0,2048.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/PleIAs/Pleias-Pico'>PleIAs/Pleias-Pico</a>,🧠,-@@100,N/A,353424384.0,65536.0,2048.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/QwQ-32B'>Qwen/QwQ-32B</a>,🤔,-@@100,?,32763876352.0,152064.0,40960.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen1.5-0.5B-Chat'>Qwen/Qwen1.5-0.5B-Chat</a>,📝,-@@100,?,619570176.0,151936.0,32768.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen1.5-0.5B'>Qwen/Qwen1.5-0.5B</a>,📝,-@@100,?,619570176.0,151936.0,32768.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen1.5-1.8B-Chat'>Qwen/Qwen1.5-1.8B-Chat</a>,📝,-@@100,?,1836828672.0,151936.0,32768.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen1.5-1.8B'>Qwen/Qwen1.5-1.8B</a>,📝,-@@100,?,1836828672.0,151936.0,32768.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen1.5-14B-Chat'>Qwen/Qwen1.5-14B-Chat</a>,📝,-@@100,?,14167290880.0,152064.0,32768.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen1.5-14B'>Qwen/Qwen1.5-14B</a>,📝,-@@100,?,14167290880.0,152064.0,32768.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen1.5-4B-Chat'>Qwen/Qwen1.5-4B-Chat</a>,📝,-@@100,?,3950369280.0,151936.0,32768.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen1.5-4B'>Qwen/Qwen1.5-4B</a>,📝,-@@100,?,3950369280.0,151936.0,32768.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen2.5-Math-1.5B'>Qwen/Qwen2.5-Math-1.5B</a>,📝,-@@100,?,1543714304.0,151936.0,4096.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen2.5-Math-7B'>Qwen/Qwen2.5-Math-7B</a>,📝,-@@100,?,7615616512.0,152064.0,4096.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-6.7b-v2'>AI-Sweden-Models/gpt-sw3-6.7b-v2</a>,🧠,-@@100,N/A,7111057408.0,64000.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-6.7b'>AI-Sweden-Models/gpt-sw3-6.7b</a>,🧠,-@@100,N/A,7111057408.0,64000.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/roberta-large-1160k'>AI-Sweden-Models/roberta-large-1160k</a>,🔍,-@@100,N/A,355412057.0,50265.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/BSC-LT/ALIA-40b'>BSC-LT/ALIA-40b</a>,🧠,-@@100,N/A,40433885184.0,256000.0,32768.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/BSC-LT/salamandra-2b-instruct'>BSC-LT/salamandra-2b-instruct</a>,📝,-@@100,?,2253490176.0,256000.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/BSC-LT/salamandra-2b'>BSC-LT/salamandra-2b (val)</a>,🧠,-@@100,N/A,2253490176.0,256000.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/BSC-LT/salamandra-2b'>BSC-LT/salamandra-2b</a>,🧠,-@@100,N/A,2253490176.0,256000.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/CohereForAI/aya-23-35B'>CohereForAI/aya-23-35B</a>,📝,-@@100,?,34980831232.0,256000.0,8192.0,✗,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/CohereForAI/aya-23-8B'>CohereForAI/aya-23-8B</a>,📝,-@@100,?,8028033024.0,256000.0,8192.0,✗,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/CohereForAI/aya-expanse-32b'>CohereForAI/aya-expanse-32b</a>,📝,-@@100,?,32296476672.0,256000.0,8192.0,✗,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/CohereForAI/aya-expanse-8b'>CohereForAI/aya-expanse-8b</a>,📝,-@@100,?,8028033024.0,256000.0,8192.0,✗,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/CohereForAI/c4ai-command-r-08-2024'>CohereForAI/c4ai-command-r-08-2024</a>,📝,-@@100,?,32296476672.0,256000.0,131072.0,✗,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/CohereForAI/c4ai-command-r-v01'>CohereForAI/c4ai-command-r-v01</a>,📝,-@@100,?,34980831232.0,256000.0,8192.0,✗,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-356m'>AI-Sweden-Models/gpt-sw3-356m</a>,🧠,-@@100,N/A,470607872.0,64000.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/01-ai/Yi-1.5-6B'>01-ai/Yi-1.5-6B</a>,🧠,-@@100,N/A,6061035520.0,64000.0,4096.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/01-ai/Yi-1.5-9B'>01-ai/Yi-1.5-9B</a>,🧠,-@@100,N/A,8829407232.0,64000.0,4096.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/01-ai/Yi-6B'>01-ai/Yi-6B</a>,🧠,-@@100,N/A,6061035520.0,64000.0,4096.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/152334H/miqu-1-70b-sf'>152334H/miqu-1-70b-sf</a>,📝,-@@100,?,68976648192.0,32000.0,32764.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/Llama-3-8B-instruct'>AI-Sweden-Models/Llama-3-8B-instruct</a>,📝,-@@100,?,8030261248.0,128256.0,8192.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/Llama-3-8B'>AI-Sweden-Models/Llama-3-8B</a>,🧠,-@@100,N/A,8030261248.0,128256.0,8192.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/ModernBERT-large'>AI-Sweden-Models/ModernBERT-large</a>,🔍,-@@100,N/A,395881664.0,50368.0,8192.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/bert-large-nordic-pile-1M-steps'>AI-Sweden-Models/bert-large-nordic-pile-1M-steps</a>,🔍,-@@100,N/A,369426435.0,64000.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-40b'>AI-Sweden-Models/gpt-sw3-40b</a>,🧠,-@@100,N/A,39926513664.0,64000.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-126m'>AI-Sweden-Models/gpt-sw3-126m</a>,🧠,-@@100,N/A,186112512.0,64000.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-20b-instruct'>AI-Sweden-Models/gpt-sw3-20b-instruct</a>,📝,-@@100,?,20918423552.0,64000.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-20b'>AI-Sweden-Models/gpt-sw3-20b</a>,🧠,-@@100,N/A,20918423552.0,64000.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-1.3b'>AI-Sweden-Models/gpt-sw3-1.3b</a>,🧠,-@@100,N/A,1444532224.0,64000.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/DDSC/roberta-base-danish'>DDSC/roberta-base-danish</a>,🔍,-@@100,N/A,124697947.0,50265.0,514.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/KBLab/bert-base-swedish-cased-new'>KBLab/bert-base-swedish-cased-new</a>,🔍,-@@100,N/A,135259392.0,64000.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/KBLab/bert-base-swedish-cased'>KBLab/bert-base-swedish-cased</a>,🔍,-@@100,N/A,125333397.0,50325.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/KBLab/megatron-bert-base-swedish-cased-125k'>KBLab/megatron-bert-base-swedish-cased-125k</a>,🔍,-@@100,N/A,135357824.0,64128.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/KBLab/megatron-bert-base-swedish-cased-600k'>KBLab/megatron-bert-base-swedish-cased-600k</a>,🔍,-@@100,N/A,135357824.0,64128.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/KBLab/megatron-bert-large-swedish-cased-165k'>KBLab/megatron-bert-large-swedish-cased-165k</a>,🔍,-@@100,N/A,369621120.0,64128.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/KBLab/roberta-base-swedish-cased'>KBLab/roberta-base-swedish-cased</a>,🔍,-@@100,N/A,125980419.0,52000.0,514.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/KBLab/sentence-bert-swedish-cased'>KBLab/sentence-bert-swedish-cased</a>,🔍,-@@100,N/A,124691456.0,50325.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/KennethEnevoldsen/dfm-sentence-encoder-large'>KennethEnevoldsen/dfm-sentence-encoder-large</a>,🔍,-@@100,N/A,407389520.0,50000.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/KennethEnevoldsen/dfm-sentence-encoder-medium'>KennethEnevoldsen/dfm-sentence-encoder-medium</a>,🔍,-@@100,N/A,124448259.0,50005.0,514.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/KennethEnevoldsen/dfm-sentence-encoder-small'>KennethEnevoldsen/dfm-sentence-encoder-small</a>,🔍,-@@100,N/A,21944195.0,96105.0,128.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/KBLab/bert-base-swedish-cased-alpha'>KBLab/bert-base-swedish-cased-alpha</a>,🔍,-@@100,N/A,124445187.0,50002.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B'>HuggingFaceTB/SmolLM3-3B</a>,🤔,-@@100,?,3075098624.0,128256.0,65536.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/DDSC/roberta-base-scandinavian'>DDSC/roberta-base-scandinavian</a>,🔍,-@@100,N/A,124647939.0,50265.0,514.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/DGurgurov/xlm-r_dan-latn'>DGurgurov/xlm-r_dan-latn</a>,🔍,-@@100,N/A,278295186.0,250002.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/DiscoResearch/DiscoLM-70b'>DiscoResearch/DiscoLM-70b</a>,🧠,-@@100,N/A,68977172480.0,32032.0,8192.0,✗,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/EuroBERT/EuroBERT-2.1B'>EuroBERT/EuroBERT-2.1B</a>,🔍,-@@100,N/A,2403092736.0,128256.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/EuroBERT/EuroBERT-210m'>EuroBERT/EuroBERT-210m</a>,🔍,-@@100,N/A,310266624.0,128256.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/EuroBERT/EuroBERT-610m'>EuroBERT/EuroBERT-610m</a>,🔍,-@@100,N/A,755625600.0,128256.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/EuropeanParliament/EUBERT'>EuropeanParliament/EUBERT</a>,🔍,-@@100,N/A,93990500.0,65636.0,512.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,-@@100,N/A,561192082.0,250002.0,512.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Geotrend/distilbert-base-25lang-cased'>Geotrend/distilbert-base-25lang-cased</a>,🔍,-@@100,N/A,108867577.0,84985.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/HPLT/hplt2c_dan_checkpoints'>HPLT/hplt2c_dan_checkpoints</a>,🧠,-@@100,N/A,?,262272.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/HPLT/hplt2c_isl_checkpoints'>HPLT/hplt2c_isl_checkpoints</a>,🧠,-@@100,N/A,?,262272.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/HPLT/hplt2c_nno_checkpoints'>HPLT/hplt2c_nno_checkpoints</a>,🧠,-@@100,N/A,?,262272.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/HPLT/hplt2c_swe_checkpoints'>HPLT/hplt2c_swe_checkpoints</a>,🧠,-@@100,N/A,?,262272.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/HuggingFaceTB/SmolLM2-1.7B-Instruct'>HuggingFaceTB/SmolLM2-1.7B-Instruct</a>,📝,-@@100,?,1711376384.0,49152.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/HuggingFaceTB/SmolLM2-1.7B'>HuggingFaceTB/SmolLM2-1.7B</a>,🧠,-@@100,N/A,1711376384.0,49152.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B'>HuggingFaceTB/SmolLM3-3B#no-thinking</a>,📝,-@@100,1.05,3075098624.0,128256.0,65536.0,✓,✗,✗,✓,2.92@@2.92,-@@100,-@@100
<a href='https://hf.co/HPLT/hplt2c_nob_checkpoints'>HPLT/hplt2c_nob_checkpoints</a>,🧠,-@@100,N/A,?,262272.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B</a>,🤔,-@@100,?,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/common-pile/comma-v0.1-1t'>common-pile/comma-v0.1-1t</a>,🧠,-@@100,N/A,7002656768.0,64256.0,16384.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/common-pile/comma-v0.1-2t'>common-pile/comma-v0.1-2t</a>,🧠,-@@100,N/A,7002656768.0,64256.0,16384.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#thinking (zero-shot, val)</a>",🤔,-@@100,?,?,?,200000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/danish-foundation-models/encoder-large-v1'>danish-foundation-models/encoder-large-v1</a>,🔍,-@@100,N/A,355139920.0,50000.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/danish-foundation-models/encoder-small-v1'>danish-foundation-models/encoder-small-v1</a>,🔍,-@@100,N/A,22007401.0,96105.0,128.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/danish-foundation-models/gemma-3-1b-cpt-dynaword-full-v1'>danish-foundation-models/gemma-3-1b-cpt-dynaword-full-v1</a>,🧠,-@@100,N/A,999885952.0,262144.0,4096.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/danish-foundation-models/gemma-3-1b-cpt-dynaword-full-v1'>danish-foundation-models/gemma-3-1b-cpt-dynaword-full-v1 (val)</a>,🧠,-@@100,N/A,999885952.0,262144.0,4096.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/danish-foundation-models/munin-7b-alpha'>danish-foundation-models/munin-7b-alpha</a>,🧠,-@@100,N/A,7241732096.0,32000.0,32768.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/danish-foundation-models/munin-7b-alpha'>danish-foundation-models/munin-7b-alpha (val)</a>,🧠,-@@100,N/A,7241732096.0,32000.0,32768.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
danish-foundation-models/munin-7b-core-it,📝,-@@100,?,7002656768.0,64256.0,16384.0,✗,✗,✗,✓,-@@100,-@@100,-@@100
danish-foundation-models/munin-7b-core-pt-2,🧠,-@@100,N/A,7002656768.0,64256.0,16384.0,✗,✗,✗,✓,-@@100,-@@100,-@@100
danish-foundation-models/munin-7b-core-pt-3,🧠,-@@100,N/A,7002656768.0,64256.0,16384.0,✗,✗,✗,✓,-@@100,-@@100,-@@100
danish-foundation-models/munin-7b-core-pt,🧠,-@@100,N/A,7002656768.0,64256.0,16384.0,✗,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#no-thinking (zero-shot, val)</a>",📝,-@@100,?,?,?,200000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-5-sonnet-20241022 (zero-shot, val)</a>",📝,-@@100,?,?,?,200000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/bineric/NorskGPT-Mistral-7b'>bineric/NorskGPT-Mistral-7b</a>,📝,-@@100,?,7241732096.0,32000.0,32768.0,✗,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/birgermoell/BeagleCatMunin-Flashback-Bellman'>birgermoell/BeagleCatMunin-Flashback-Bellman (val)</a>,🧠,-@@100,N/A,7241732096.0,32000.0,32768.0,✗,✓,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/birgermoell/Flashback-Bellman'>birgermoell/Flashback-Bellman (val)</a>,🧠,-@@100,N/A,7241732096.0,32000.0,32768.0,✗,✓,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/birgermoell/Munin-NeuralBeagle-NorskGPT'>birgermoell/Munin-NeuralBeagle-NorskGPT (val)</a>,🧠,-@@100,N/A,7241732096.0,32000.0,32768.0,✗,✓,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/birgermoell/Rapid-Cycling'>birgermoell/Rapid-Cycling (val)</a>,🧠,-@@100,N/A,7241732096.0,32000.0,32768.0,✗,✓,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/birgermoell/WestLake-Munin-Cat-NorskGPT'>birgermoell/WestLake-Munin-Cat-NorskGPT (val)</a>,🧠,-@@100,N/A,7241732096.0,32000.0,32768.0,✗,✓,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/bullerwins/Magistral-Small-2506-fp8'>bullerwins/Magistral-Small-2506-fp8</a>,🧠,-@@100,N/A,23575680000.0,131072.0,32768.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
danish-foundation-models/munin-7b-open-it,📝,-@@100,?,7002656768.0,64256.0,16384.0,✗,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/facebook/MobileLLM-R1-360M-base'>facebook/MobileLLM-R1-360M-base</a>,🧠,-@@100,N/A,359431168.0,128256.0,4096.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/facebook/MobileLLM-R1-360M'>facebook/MobileLLM-R1-360M</a>,📝,-@@100,?,359431168.0,128256.0,32768.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/facebook/MobileLLM-R1-950M-base'>facebook/MobileLLM-R1-950M-base</a>,🧠,-@@100,N/A,949685760.0,128256.0,4096.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/facebook/MobileLLM-R1-950M'>facebook/MobileLLM-R1-950M</a>,📝,-@@100,?,949685760.0,128256.0,32768.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
fresh-electra-small,🔍,-@@100,N/A,13738755.0,32000.0,128.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
fresh-xlm-roberta-base,🔍,-@@100,N/A,278885778.0,250002.0,512.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-002'>gemini/gemini-1.5-flash-002 (zero-shot, val)</a>",📝,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-8b-001'>gemini/gemini-1.5-flash-8b-001 (zero-shot, val)</a>",📝,-@@100,?,8000000000.0,256128.0,1048576.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-pro-002'>gemini/gemini-1.5-pro-002 (zero-shot, val)</a>",📝,-@@100,?,?,256128.0,2097152.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-001'>gemini/gemini-2.0-flash-001 (zero-shot, val)</a>",📝,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-lite-001'>gemini/gemini-2.0-flash-lite-001 (zero-shot, val)</a>",📝,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/facebook/MobileLLM-R1-140M'>facebook/MobileLLM-R1-140M</a>,🤔,-@@100,?,140248512.0,128256.0,32768.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite-preview-06-17'>gemini/gemini-2.5-flash-lite-preview-06-17#no-thinking (zero-shot, val)</a>",📝,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite-preview-06-17'>gemini/gemini-2.5-flash-lite-preview-06-17#thinking (zero-shot, val)</a>",🤔,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-preview-04-17'>gemini/gemini-2.5-flash-preview-04-17 (zero-shot, val)</a>",🤔,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-preview-03-25'>gemini/gemini-2.5-pro-preview-03-25 (zero-shot, val)</a>",🤔,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
danish-foundation-models/munin-7b-open-pt,🧠,-@@100,N/A,7002656768.0,64256.0,16384.0,✗,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/facebook/MobileLLM-R1-140M-base'>facebook/MobileLLM-R1-140M-base</a>,🧠,-@@100,N/A,140248512.0,128256.0,4096.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,-@@100,?,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-0528-Qwen3-8B'>deepseek-ai/DeepSeek-R1-0528-Qwen3-8B</a>,🤔,-@@100,?,8190735360.0,151936.0,131072.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B'>deepseek-ai/DeepSeek-R1-Distill-Llama-70B</a>,🤔,-@@100,?,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
