<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,<a id=9 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=10 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=11 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=12 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=13 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=14 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=15 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (val)</a>,📝,3.29@@3.29,0.4,11168796672.0,32128.0,32768.0,✓,✓,41.74 ± 1.11 / 58.21 ± 0.73@@41.74,47.93 ± 1.74 / 26.50 ± 1.95@@47.93,-0.87 ± 2.25 / 34.73 ± 0.42@@-0.87,61.78 ± 0.72 / 36.97 ± 1.13@@61.78,29.12 ± 0.38 / 31.70 ± 0.47@@29.12,-9.80 ± 2.95 / 17.33 ± 2.24@@-9.80,2.85 ± 1.95 / 51.17 ± 1.03@@2.85,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct</a>,📝,3.34@@3.34,6.1,7768117248.0,256000.0,8192.0,✓,✗,44.41 ± 2.25 / 56.37 ± 1.99@@44.41,26.39 ± 1.93 / 18.55 ± 1.48@@26.39,14.98 ± 1.34 / 54.79 ± 1.00@@14.98,15.19 ± 0.41 / 0.00 ± 0.00@@15.19,27.03 ± 0.88 / 29.39 ± 1.04@@27.03,8.58 ± 2.40 / 29.60 ± 1.51@@8.58,8.75 ± 2.86 / 53.28 ± 1.02@@8.75,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/allenai/Olmo-3-1025-7B'>allenai/Olmo-3-1025-7B</a>,🧠,3.39@@3.39,N/A,7298011136.0,100278.0,65536.0,✓,✗,35.86 ± 1.45 / 54.83 ± 1.13@@35.86,40.40 ± 2.31 / 19.77 ± 1.62@@40.40,-0.88 ± 1.06 / 35.72 ± 2.40@@-0.88,46.87 ± 1.08 / 31.18 ± 1.07@@46.87,21.86 ± 2.20 / 23.68 ± 2.50@@21.86,6.32 ± 2.53 / 29.94 ± 2.30@@6.32,-1.37 ± 1.00 / 49.26 ± 0.32@@-1.37,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B</a>,📝,3.43@@3.43,14.14,3606752256.0,128256.0,131072.0,✓,✗,38.42 ± 3.90 / 51.49 ± 4.34@@38.42,44.61 ± 2.34 / 25.38 ± 2.01@@44.61,3.36 ± 1.95 / 35.81 ± 2.18@@3.36,12.05 ± 0.99 / 0.09 ± 0.10@@12.05,30.21 ± 0.15 / 33.09 ± 0.23@@30.21,0.96 ± 1.35 / 24.14 ± 1.40@@0.96,-0.39 ± 1.72 / 49.97 ± 0.76@@-0.39,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Qwen/Qwen3.5-0.8B'>Qwen/Qwen3.5-0.8B (val)</a>,📝,3.46@@3.46,15.12,873436192.0,248044.0,8192.0,✓,✗,38.51 ± 2.51 / 55.45 ± 1.68@@38.51,32.76 ± 1.03 / 17.37 ± 0.51@@32.76,3.27 ± 2.40 / 49.42 ± 1.56@@3.27,42.49 ± 0.60 / 15.57 ± 0.85@@42.49,24.50 ± 0.31 / 27.37 ± 0.34@@24.50,3.02 ± 3.02 / 30.33 ± 2.06@@3.02,-0.66 ± 2.56 / 49.45 ± 1.02@@-0.66,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-DPO'>allenai/Olmo-3-7B-Instruct-DPO</a>,📝,3.50@@3.50,0.38,7298011136.0,100278.0,65536.0,✗,✗,25.36 ± 1.47 / 47.43 ± 1.37@@25.36,36.67 ± 2.14 / 21.35 ± 1.32@@36.67,1.27 ± 1.69 / 46.99 ± 2.54@@1.27,33.92 ± 1.23 / 18.02 ± 1.34@@33.92,25.25 ± 1.82 / 27.51 ± 2.24@@25.25,4.88 ± 2.70 / 25.52 ± 1.67@@4.88,1.77 ± 2.02 / 50.87 ± 1.08@@1.77,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Qwen/Qwen3.5-2B-Base'>Qwen/Qwen3.5-2B-Base (val)</a>,🧠,3.52@@3.52,N/A,2274067232.0,248044.0,8192.0,✓,✗,0.46 ± 0.46 / 11.76 ± 0.22@@0.46,40.28 ± 2.29 / 19.47 ± 0.69@@40.28,7.47 ± 1.43 / 43.76 ± 2.56@@7.47,68.59 ± 1.01 / 45.93 ± 1.32@@68.59,20.10 ± 0.83 / 21.27 ± 0.94@@20.10,0.20 ± 0.15 / 23.83 ± 1.27@@0.20,6.41 ± 1.89 / 52.58 ± 1.00@@6.41,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct</a>,📝,3.52@@3.52,14.14,7241748480.0,32002.0,32768.0,✗,✗,24.79 ± 1.80 / 41.81 ± 2.14@@24.79,37.36 ± 4.27 / 21.68 ± 1.99@@37.36,1.73 ± 1.31 / 44.37 ± 3.56@@1.73,48.60 ± 1.62 / 27.69 ± 1.82@@48.60,24.54 ± 2.12 / 26.31 ± 2.41@@24.54,-0.95 ± 1.72 / 23.42 ± 1.43@@-0.95,-1.88 ± 1.55 / 49.10 ± 0.71@@-1.88,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.15.0.dev0@@161500,16.0.1.dev0@@160001,16.0.1.dev0@@160001
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct'>allenai/Olmo-3-7B-Instruct</a>,📝,3.54@@3.54,0.01,7298011136.0,100278.0,65536.0,✗,✗,26.60 ± 1.57 / 48.03 ± 1.86@@26.60,37.38 ± 1.68 / 22.95 ± 1.63@@37.38,1.86 ± 1.40 / 47.74 ± 2.16@@1.86,33.82 ± 1.35 / 19.09 ± 0.92@@33.82,25.16 ± 2.47 / 27.17 ± 2.93@@25.16,2.79 ± 2.09 / 23.98 ± 1.59@@2.79,1.25 ± 2.50 / 50.67 ± 1.24@@1.25,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B'>HuggingFaceTB/SmolLM3-3B#no-thinking</a>,📝,3.59@@3.59,0.13,3075098624.0,128256.0,65536.0,✓,✗,30.26 ± 1.82 / 49.22 ± 1.74@@30.26,35.84 ± 2.23 / 21.49 ± 1.61@@35.84,0.75 ± 1.75 / 47.52 ± 2.42@@0.75,17.80 ± 0.73 / 0.56 ± 0.19@@17.80,27.37 ± 0.46 / 30.15 ± 0.54@@27.37,2.27 ± 2.19 / 26.06 ± 1.72@@2.27,1.06 ± 2.81 / 50.06 ± 0.89@@1.06,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Qwen/Qwen3.5-0.8B-Base'>Qwen/Qwen3.5-0.8B-Base (val)</a>,🧠,3.63@@3.63,N/A,873436192.0,248044.0,8192.0,✓,✗,10.52 ± 1.57 / 16.07 ± 0.99@@10.52,34.46 ± 1.43 / 18.27 ± 0.56@@34.46,3.40 ± 1.48 / 42.01 ± 2.44@@3.40,56.59 ± 1.14 / 33.78 ± 1.40@@56.59,18.50 ± 0.69 / 20.23 ± 0.79@@18.50,6.20 ± 2.60 / 28.50 ± 1.80@@6.20,0.06 ± 2.66 / 49.45 ± 1.16@@0.06,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B-Base'>HuggingFaceTB/SmolLM3-3B-Base</a>,🧠,3.65@@3.65,N/A,3075098624.0,128256.0,65536.0,✓,✗,34.47 ± 2.07 / 49.71 ± 2.46@@34.47,31.68 ± 3.45 / 16.94 ± 1.35@@31.68,0.32 ± 0.63 / 33.63 ± 0.39@@0.32,29.83 ± 2.52 / 17.68 ± 2.41@@29.83,21.06 ± 1.74 / 22.85 ± 2.15@@21.06,3.87 ± 2.00 / 28.00 ± 1.49@@3.87,1.53 ± 1.12 / 49.87 ± 0.62@@1.53,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b</a>,🧠,3.66@@3.66,N/A,7768117248.0,256000.0,8192.0,✓,✗,10.09 ± 2.18 / 21.36 ± 2.64@@10.09,23.99 ± 1.44 / 19.99 ± 1.14@@23.99,6.74 ± 2.83 / 35.05 ± 1.25@@6.74,49.33 ± 0.94 / 30.70 ± 0.93@@49.33,20.72 ± 2.22 / 21.26 ± 2.42@@20.72,7.63 ± 2.70 / 27.14 ± 2.00@@7.63,3.41 ± 1.95 / 51.00 ± 0.79@@3.41,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/google/gemma-3-1b-it'>google/gemma-3-1b-it</a>,📝,3.72@@3.72,4.1,999885952.0,262144.0,32768.0,✓,✗,26.28 ± 3.25 / 42.88 ± 4.49@@26.28,27.79 ± 1.50 / 22.45 ± 1.20@@27.79,2.93 ± 1.62 / 44.34 ± 2.72@@2.93,14.28 ± 0.97 / 0.02 ± 0.04@@14.28,25.99 ± 0.52 / 28.51 ± 0.59@@25.99,2.14 ± 1.57 / 25.34 ± 1.16@@2.14,1.02 ± 1.65 / 49.74 ± 0.60@@1.02,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-SFT'>allenai/Olmo-3-7B-Instruct-SFT</a>,📝,3.73@@3.73,0.35,7298011136.0,100278.0,65536.0,✗,✗,23.68 ± 2.05 / 47.91 ± 1.35@@23.68,32.81 ± 2.10 / 21.26 ± 1.58@@32.81,1.52 ± 1.19 / 42.80 ± 2.67@@1.52,34.48 ± 1.15 / 20.68 ± 1.40@@34.48,18.83 ± 1.81 / 19.74 ± 2.00@@18.83,1.25 ± 1.84 / 24.14 ± 1.43@@1.25,2.24 ± 1.80 / 51.17 ± 0.87@@2.24,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/occiglot/occiglot-7b-eu5'>occiglot/occiglot-7b-eu5</a>,🧠,3.74@@3.74,N/A,7241732096.0,32000.0,32768.0,✓,✗,1.40 ± 1.04 / 11.48 ± 0.31@@1.40,40.27 ± 3.24 / 24.22 ± 2.77@@40.27,0.44 ± 1.23 / 33.87 ± 0.55@@0.44,46.71 ± 2.36 / 31.18 ± 1.86@@46.71,19.91 ± 1.69 / 20.88 ± 1.88@@19.91,-0.30 ± 0.16 / 23.58 ± 1.20@@-0.30,1.89 ± 2.20 / 49.76 ± 0.47@@1.89,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.15.0.dev0@@161500,16.0.1.dev0@@160001,16.0.1.dev0@@160001
<a href='https://hf.co/google/gemma-4-E4B'>google/gemma-4-E4B (val)</a>,🧠,3.81@@3.81,N/A,7996157418.0,262144.0,8192.0,✓,✗,10.65 ± 3.91 / 37.20 ± 2.23@@10.65,21.87 ± 3.21 / 17.27 ± 1.26@@21.87,1.51 ± 2.93 / 47.42 ± 1.75@@1.51,62.70 ± 1.19 / 33.44 ± 1.49@@62.70,16.06 ± 1.25 / 17.13 ± 1.41@@16.06,-0.07 ± 2.55 / 25.17 ± 2.30@@-0.07,0.43 ± 2.80 / 49.80 ± 1.22@@0.43,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/yulan-team/YuLan-Mini-Instruct'>yulan-team/YuLan-Mini-Instruct</a>,📝,3.84@@3.84,0.05,2424375168.0,99000.0,28723.0,✗,✗,12.11 ± 3.23 / 27.63 ± 5.34@@12.11,26.31 ± 3.51 / 15.86 ± 1.57@@26.31,-0.72 ± 1.18 / 38.61 ± 4.10@@-0.72,10.54 ± 1.29 / 1.93 ± 0.99@@10.54,26.86 ± 0.82 / 29.61 ± 0.91@@26.86,1.23 ± 1.86 / 27.64 ± 1.82@@1.23,1.89 ± 1.45 / 49.88 ± 0.60@@1.89,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.15.0.dev0@@161500,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/allenai/Olmo-3-7B-Think'>allenai/Olmo-3-7B-Think (val)</a>,🤔,3.84@@3.84,?,7298011136.0,100278.0,65536.0,✗,✗,24.14 ± 0.98 / 47.40 ± 0.87@@24.14,38.29 ± 1.78 / 19.31 ± 0.88@@38.29,-0.93 ± 1.87 / 38.90 ± 1.08@@-0.93,34.24 ± 1.08 / 18.34 ± 0.88@@34.24,12.16 ± 0.90 / 13.54 ± 0.97@@12.16,-1.96 ± 3.23 / 23.67 ± 2.29@@-1.96,6.71 ± 3.30 / 53.36 ± 1.67@@6.71,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt</a>,🧠,3.86@@3.86,N/A,999885952.0,262144.0,32768.0,✓,✗,24.74 ± 7.22 / 32.47 ± 6.68@@24.74,16.31 ± 3.88 / 14.96 ± 1.59@@16.31,0.40 ± 1.18 / 45.41 ± 2.27@@0.40,37.90 ± 0.93 / 22.39 ± 1.02@@37.90,20.28 ± 1.40 / 22.07 ± 1.59@@20.28,0.68 ± 1.90 / 23.78 ± 1.28@@0.68,-2.58 ± 1.76 / 48.99 ± 0.75@@-2.58,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking</a>,📝,3.91@@3.91,1.33,751632384.0,151936.0,40960.0,✓,✗,11.76 ± 3.86 / 28.41 ± 7.80@@11.76,19.60 ± 3.09 / 15.61 ± 1.79@@19.60,0.85 ± 1.22 / 37.21 ± 4.17@@0.85,19.08 ± 1.21 / 9.47 ± 0.80@@19.08,24.88 ± 1.55 / 27.46 ± 1.77@@24.88,0.04 ± 2.13 / 22.00 ± 1.11@@0.04,0.02 ± 1.70 / 49.92 ± 0.68@@0.02,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/microsoft/Phi-4-reasoning-plus'>microsoft/Phi-4-reasoning-plus (val)</a>,🤔,3.96@@3.96,?,14659507200.0,100352.0,32768.0,✓,✗,11.66 ± 1.18 / 31.77 ± 1.00@@11.66,32.76 ± 3.06 / 23.36 ± 1.70@@32.76,-1.97 ± 2.54 / 47.76 ± 1.46@@-1.97,6.36 ± 0.43 / 1.53 ± 0.26@@6.36,19.10 ± 2.02 / 23.21 ± 2.46@@19.10,1.27 ± 2.79 / 24.17 ± 1.41@@1.27,8.32 ± 2.27 / 50.90 ± 0.96@@8.32,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/PleIAs/Pleias-3b-Preview'>PleIAs/Pleias-3b-Preview</a>,🧠,4.02@@4.02,N/A,3211926528.0,65536.0,4096.0,✓,✗,11.56 ± 2.77 / 25.28 ± 3.62@@11.56,21.37 ± 4.37 / 17.22 ± 1.97@@21.37,0.51 ± 1.45 / 40.04 ± 2.95@@0.51,26.94 ± 1.38 / 15.19 ± 1.12@@26.94,16.96 ± 1.92 / 17.92 ± 2.12@@16.96,0.19 ± 1.61 / 24.86 ± 1.27@@0.19,-0.24 ± 0.47 / 49.61 ± 0.51@@-0.24,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.15.0.dev0@@161500,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/google/gemma-3-270m-it'>google/gemma-3-270m-it</a>,📝,4.03@@4.03,11.29,268098176.0,262144.0,32768.0,✓,✗,7.27 ± 3.25 / 24.47 ± 5.56@@7.27,11.12 ± 3.91 / 11.83 ± 1.67@@11.12,0.42 ± 1.13 / 37.85 ± 4.29@@0.42,4.18 ± 0.54 / 0.00 ± 0.00@@4.18,27.38 ± 2.96 / 30.84 ± 3.53@@27.38,0.14 ± 1.36 / 22.92 ± 1.38@@0.14,0.63 ± 0.86 / 50.19 ± 0.64@@0.63,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Preview</a>,🧠,4.04@@4.04,N/A,2611528704.0,128000.0,4096.0,✓,✗,0.00 ± 0.00 / 11.32 ± 0.27@@0.00,16.57 ± 4.13 / 14.01 ± 1.59@@16.57,1.34 ± 1.15 / 45.05 ± 2.60@@1.34,39.05 ± 1.44 / 23.94 ± 1.43@@39.05,19.60 ± 1.36 / 20.35 ± 1.52@@19.60,0.07 ± 1.42 / 23.88 ± 1.49@@0.07,-0.21 ± 2.29 / 49.81 ± 0.79@@-0.21,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.15.0.dev0@@161500,16.0.1.dev0@@160001,16.0.1.dev0@@160001
<a href='https://hf.co/google/gemma-4-E2B'>google/gemma-4-E2B (val)</a>,🧠,4.05@@4.05,N/A,5123178979.0,262144.0,8192.0,✓,✗,5.98 ± 1.08 / 32.67 ± 1.41@@5.98,9.67 ± 1.08 / 8.90 ± 0.66@@9.67,4.49 ± 3.90 / 49.95 ± 2.22@@4.49,52.41 ± 1.04 / 27.12 ± 1.28@@52.41,15.83 ± 0.96 / 16.65 ± 1.07@@15.83,0.77 ± 3.06 / 24.67 ± 2.67@@0.77,-1.42 ± 2.42 / 49.53 ± 1.09@@-1.42,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B</a>,🧠,4.05@@4.05,N/A,1235814400.0,128256.0,131072.0,✓,✗,13.89 ± 1.64 / 35.58 ± 1.65@@13.89,11.82 ± 4.24 / 10.50 ± 1.89@@11.82,-0.14 ± 1.99 / 48.61 ± 1.76@@-0.14,26.92 ± 1.72 / 13.42 ± 1.30@@26.92,21.00 ± 1.34 / 23.06 ± 1.51@@21.00,1.11 ± 1.80 / 26.30 ± 1.35@@1.11,-1.87 ± 3.01 / 49.12 ± 1.37@@-1.87,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/speakleash/Bielik-1.5B-v3.0-Instruct'>speakleash/Bielik-1.5B-v3.0-Instruct</a>,📝,4.07@@4.07,12.47,1596507648.0,32000.0,8192.0,✓,✗,3.87 ± 1.31 / 13.13 ± 1.04@@3.87,26.68 ± 3.77 / 16.29 ± 2.02@@26.68,1.04 ± 1.24 / 46.85 ± 3.47@@1.04,0.21 ± 0.05 / 0.00 ± 0.00@@0.21,21.01 ± 3.59 / 22.18 ± 4.00@@21.01,3.78 ± 2.03 / 34.54 ± 1.28@@3.78,1.16 ± 1.66 / 50.62 ± 0.71@@1.16,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.15.0.dev0@@161500,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview</a>,📝,4.07@@4.07,0.85,2611528704.0,128000.0,4096.0,✓,✗,2.13 ± 1.10 / 11.60 ± 0.36@@2.13,12.40 ± 2.04 / 12.20 ± 1.30@@12.40,2.32 ± 0.87 / 48.44 ± 2.01@@2.32,36.33 ± 1.13 / 15.38 ± 1.25@@36.33,18.63 ± 5.19 / 21.15 ± 5.68@@18.63,2.18 ± 2.13 / 32.04 ± 2.61@@2.18,-0.75 ± 0.99 / 49.61 ± 0.50@@-0.75,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.15.0.dev0@@161500,16.0.1.dev0@@160001,16.0.1.dev0@@160001
<a href='https://hf.co/PleIAs/Pleias-1.2b-Preview'>PleIAs/Pleias-1.2b-Preview</a>,🧠,4.08@@4.08,N/A,1195468800.0,65536.0,2048.0,✓,✗,7.86 ± 2.37 / 18.77 ± 3.72@@7.86,25.30 ± 2.49 / 18.77 ± 1.68@@25.30,-1.27 ± 1.86 / 34.58 ± 1.45@@-1.27,19.01 ± 1.64 / 9.62 ± 1.50@@19.01,17.08 ± 1.74 / 18.13 ± 2.02@@17.08,-0.25 ± 1.58 / 28.14 ± 2.04@@-0.25,-0.33 ± 0.65 / 49.63 ± 0.49@@-0.33,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B</a>,📝,4.13@@4.13,0.01,1170340608.0,65536.0,128000.0,✗,✗,5.98 ± 1.93 / 30.03 ± 2.67@@5.98,13.12 ± 1.86 / 12.21 ± 1.29@@13.12,0.15 ± 1.27 / 37.66 ± 2.80@@0.15,4.57 ± 0.39 / 0.00 ± 0.00@@4.57,24.13 ± 0.74 / 26.43 ± 0.82@@24.13,-0.16 ± 1.86 / 22.08 ± 1.64@@-0.16,-0.78 ± 1.50 / 49.76 ± 0.68@@-0.78,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct</a>,📝,4.17@@4.17,0.07,1235814400.0,128256.0,131072.0,✓,✗,4.14 ± 2.39 / 25.27 ± 4.80@@4.14,19.19 ± 4.11 / 14.31 ± 1.84@@19.19,0.71 ± 0.84 / 34.13 ± 0.87@@0.71,5.76 ± 0.91 / 0.00 ± 0.00@@5.76,19.08 ± 1.66 / 20.14 ± 1.91@@19.08,0.44 ± 2.46 / 23.18 ± 2.05@@0.44,-0.62 ± 1.49 / 50.15 ± 0.59@@-0.62,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/tencent/Hunyuan-4B-Instruct'>tencent/Hunyuan-4B-Instruct (val)</a>,🤔,4.18@@4.18,?,4221757440.0,120818.0,262144.0,✓,✗,15.02 ± 1.36 / 38.19 ± 1.15@@15.02,18.78 ± 2.30 / 12.67 ± 1.11@@18.78,1.52 ± 0.99 / 49.44 ± 0.42@@1.52,12.29 ± 1.40 / 0.00 ± 0.00@@12.29,13.36 ± 0.90 / 15.90 ± 1.12@@13.36,0.00 ± 0.00 / 23.83 ± 1.27@@0.00,0.00 ± 0.00 / 49.06 ± 0.89@@0.00,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/LiquidAI/LFM2-700M'>LiquidAI/LFM2-700M</a>,📝,4.21@@4.21,1.31,742489344.0,65536.0,128000.0,✗,✗,3.21 ± 1.66 / 20.73 ± 4.94@@3.21,8.78 ± 1.64 / 9.62 ± 1.11@@8.78,-0.70 ± 1.62 / 41.96 ± 3.93@@-0.70,4.21 ± 0.38 / 0.02 ± 0.04@@4.21,23.97 ± 0.77 / 26.40 ± 0.85@@23.97,0.17 ± 0.62 / 23.06 ± 1.50@@0.17,-0.41 ± 1.00 / 49.62 ± 0.61@@-0.41,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
